Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
dienachbarn.org,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1
bbuoqlicjreu.xmcm10.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
web-services.myts3card.sssssvt.cn,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
6vrnhgmg.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
unlewxzmqintcho.aaronspecter.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
socialspark.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
mustnecessarydt.gongzhuangsh.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
accoun.depjoy.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
fn6yy.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
chmyqhrkrhcors.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
melek.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
meteo.etqeazmgoo.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
emv1.aisreformas.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
dosu9es.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
computeraj.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ablvhrwysyencoq.xmcm10.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
vaporwave.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
smbj.9ngtqk.shop,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
ayfi.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ekii-onina.speaktool.cn,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
9gi8mgxxoqydh9q.top,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
prcdajdeeeeosajksjkakd118283.dikkattesti.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
